"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-02-06,2021-03-13,"GM","Germany",71220.408552385,"quantile",0.025,"35 day ahead cum death"
2021-02-06,2021-03-14,"GM","Germany",71316.0856090962,"quantile",0.025,"36 day ahead cum death"
2021-02-06,2021-03-15,"GM","Germany",71407.0964406896,"quantile",0.025,"37 day ahead cum death"
2021-02-06,2021-03-16,"GM","Germany",71493.6686216495,"quantile",0.025,"38 day ahead cum death"
2021-02-06,2021-03-17,"GM","Germany",71576.0186275217,"quantile",0.025,"39 day ahead cum death"
2021-02-06,2021-03-18,"GM","Germany",71654.3523762152,"quantile",0.025,"40 day ahead cum death"
2021-02-06,2021-03-19,"GM","Germany",71728.8657429039,"quantile",0.025,"41 day ahead cum death"
2021-02-06,2021-03-20,"GM","Germany",71799.7450498168,"quantile",0.025,"42 day ahead cum death"
2021-02-06,2021-03-21,"GM","Germany",71867.1675321405,"quantile",0.025,"43 day ahead cum death"
2021-02-06,2021-03-22,"GM","Germany",71931.3017811998,"quantile",0.025,"44 day ahead cum death"
2021-02-06,2021-03-23,"GM","Germany",71992.3081660232,"quantile",0.025,"45 day ahead cum death"
2021-02-06,2021-03-24,"GM","Germany",72050.3392343496,"quantile",0.025,"46 day ahead cum death"
2021-02-06,2021-03-25,"GM","Germany",72105.5400940769,"quantile",0.025,"47 day ahead cum death"
2021-02-06,2021-03-26,"GM","Germany",72158.0487761073,"quantile",0.025,"48 day ahead cum death"
2021-02-06,2021-03-27,"GM","Germany",72207.9965794963,"quantile",0.025,"49 day ahead cum death"
2021-02-06,2021-03-28,"GM","Germany",72255.5083997692,"quantile",0.025,"50 day ahead cum death"
2021-02-06,2021-03-29,"GM","Germany",72300.7030412243,"quantile",0.025,"51 day ahead cum death"
2021-02-06,2021-03-30,"GM","Germany",72343.6935140061,"quantile",0.025,"52 day ahead cum death"
2021-02-06,2021-03-31,"GM","Germany",72384.5873166894,"quantile",0.025,"53 day ahead cum death"
2021-02-06,2021-04-01,"GM","Germany",72423.4867050815,"quantile",0.025,"54 day ahead cum death"
2021-02-06,2021-04-02,"GM","Germany",72460.4889479151,"quantile",0.025,"55 day ahead cum death"
2021-02-06,2021-04-03,"GM","Germany",72495.686570071,"quantile",0.025,"56 day ahead cum death"
